Train data size: 614
Test data size: 154
Feature columns: ['SkinThickness', 'BMI', 'Insulin', 'Glucose', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'Age']
[0]     validation_0-auc:0.80440        validation_1-auc:0.77352
[1]     validation_0-auc:0.85466        validation_1-auc:0.79861
[2]     validation_0-auc:0.85611        validation_1-auc:0.78269
[3]     validation_0-auc:0.85942        validation_1-auc:0.79769
[4]     validation_0-auc:0.85765        validation_1-auc:0.79046
[5]     validation_0-auc:0.86290        validation_1-auc:0.79407
[6]     validation_0-auc:0.86423        validation_1-auc:0.79028
[7]     validation_0-auc:0.86494        validation_1-auc:0.79426
[8]     validation_0-auc:0.86505        validation_1-auc:0.79611
[9]     validation_0-auc:0.86787        validation_1-auc:0.79991
[10]    validation_0-auc:0.87015        validation_1-auc:0.79898
[11]    validation_0-auc:0.86984        validation_1-auc:0.79750
[12]    validation_0-auc:0.86963        validation_1-auc:0.79352
[13]    validation_0-auc:0.86966        validation_1-auc:0.79426
[14]    validation_0-auc:0.87165        validation_1-auc:0.79685
[15]    validation_0-auc:0.87145        validation_1-auc:0.79435
[16]    validation_0-auc:0.87141        validation_1-auc:0.79509
[17]    validation_0-auc:0.87118        validation_1-auc:0.79741
[18]    validation_0-auc:0.87041        validation_1-auc:0.79667
[19]    validation_0-auc:0.87015        validation_1-auc:0.79843
[20]    validation_0-auc:0.87082        validation_1-auc:0.79583
[21]    validation_0-auc:0.87254        validation_1-auc:0.79630
[22]    validation_0-auc:0.87264        validation_1-auc:0.79537
[23]    validation_0-auc:0.87302        validation_1-auc:0.79926
[24]    validation_0-auc:0.87321        validation_1-auc:0.79806
[25]    validation_0-auc:0.87325        validation_1-auc:0.79713
[26]    validation_0-auc:0.87467        validation_1-auc:0.79722
[27]    validation_0-auc:0.87405        validation_1-auc:0.79611
[28]    validation_0-auc:0.87407        validation_1-auc:0.79704
[29]    validation_0-auc:0.87405        validation_1-auc:0.79741
[30]    validation_0-auc:0.87432        validation_1-auc:0.79667
[31]    validation_0-auc:0.87407        validation_1-auc:0.79574
[32]    validation_0-auc:0.87350        validation_1-auc:0.79389
[33]    validation_0-auc:0.87332        validation_1-auc:0.79519
[34]    validation_0-auc:0.87349        validation_1-auc:0.79333
[35]    validation_0-auc:0.87394        validation_1-auc:0.79444
[36]    validation_0-auc:0.87404        validation_1-auc:0.79481
[37]    validation_0-auc:0.87433        validation_1-auc:0.79481
[38]    validation_0-auc:0.87403        validation_1-auc:0.79519
[39]    validation_0-auc:0.87353        validation_1-auc:0.79463
[40]    validation_0-auc:0.87366        validation_1-auc:0.79389
[41]    validation_0-auc:0.87380        validation_1-auc:0.79491
[42]    validation_0-auc:0.87379        validation_1-auc:0.79509
[43]    validation_0-auc:0.87422        validation_1-auc:0.79583
[44]    validation_0-auc:0.87402        validation_1-auc:0.79583
[45]    validation_0-auc:0.87404        validation_1-auc:0.79509
[46]    validation_0-auc:0.87428        validation_1-auc:0.79528
[47]    validation_0-auc:0.87484        validation_1-auc:0.79694
[48]    validation_0-auc:0.87450        validation_1-auc:0.79620
[49]    validation_0-auc:0.87414        validation_1-auc:0.79713
[50]    validation_0-auc:0.87386        validation_1-auc:0.79620
[51]    validation_0-auc:0.87432        validation_1-auc:0.79694
[52]    validation_0-auc:0.87443        validation_1-auc:0.79694
[53]    validation_0-auc:0.87451        validation_1-auc:0.79676
[54]    validation_0-auc:0.87465        validation_1-auc:0.79731
[55]    validation_0-auc:0.87475        validation_1-auc:0.79769
[56]    validation_0-auc:0.87512        validation_1-auc:0.79713
[57]    validation_0-auc:0.87557        validation_1-auc:0.79750
[58]    validation_0-auc:0.87535        validation_1-auc:0.79806
[59]    validation_0-auc:0.87561        validation_1-auc:0.79843
[60]    validation_0-auc:0.87589        validation_1-auc:0.79954
[61]    validation_0-auc:0.87595        validation_1-auc:0.80065
[62]    validation_0-auc:0.87575        validation_1-auc:0.79861
[63]    validation_0-auc:0.87586        validation_1-auc:0.79843
[64]    validation_0-auc:0.87610        validation_1-auc:0.79861
[65]    validation_0-auc:0.87610        validation_1-auc:0.79731
[66]    validation_0-auc:0.87630        validation_1-auc:0.80028
[67]    validation_0-auc:0.87657        validation_1-auc:0.80028
[68]    validation_0-auc:0.87663        validation_1-auc:0.80009
[69]    validation_0-auc:0.87645        validation_1-auc:0.80019
[70]    validation_0-auc:0.87645        validation_1-auc:0.79963
[71]    validation_0-auc:0.87710        validation_1-auc:0.79926
[72]    validation_0-auc:0.87690        validation_1-auc:0.79926
[73]    validation_0-auc:0.87670        validation_1-auc:0.79963
[74]    validation_0-auc:0.87638        validation_1-auc:0.79963
[75]    validation_0-auc:0.87637        validation_1-auc:0.80000
[76]    validation_0-auc:0.87599        validation_1-auc:0.80000
[77]    validation_0-auc:0.87619        validation_1-auc:0.80037
[78]    validation_0-auc:0.87645        validation_1-auc:0.80093
[79]    validation_0-auc:0.87638        validation_1-auc:0.80148
[80]    validation_0-auc:0.87631        validation_1-auc:0.80148
[81]    validation_0-auc:0.87648        validation_1-auc:0.80148
[82]    validation_0-auc:0.87699        validation_1-auc:0.80148
[83]    validation_0-auc:0.87730        validation_1-auc:0.80056
[84]    validation_0-auc:0.87750        validation_1-auc:0.80111
[85]    validation_0-auc:0.87744        validation_1-auc:0.80056
[86]    validation_0-auc:0.87792        validation_1-auc:0.80056
[87]    validation_0-auc:0.87771        validation_1-auc:0.80056
[88]    validation_0-auc:0.87749        validation_1-auc:0.80000
[89]    validation_0-auc:0.87773        validation_1-auc:0.80056
[90]    validation_0-auc:0.87757        validation_1-auc:0.80093
[91]    validation_0-auc:0.87819        validation_1-auc:0.80130
[92]    validation_0-auc:0.87819        validation_1-auc:0.80130
